MQ1,MQ2
18,450
19,450
19,450
19,451
19,451
19,451
19,451
18,451
18,451
18,451
19,451
19,451
19,451
18,451
18,451
18,451
18,451
18,451
18,451
18,451
18,451
18,451
26,450
20,450
18,451
18,450
20,450
19,449
20,451
19,451
19,451
20,451
20,451
20,451
20,451
20,451
21,451
20,451
20,451
20,451
21,451
22,451
22,451
22,451
22,451
22,451
22,451
22,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
22,451
21,451
22,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,451
21,450
21,450
21,450
21,450
20,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
21,450
19,450
25,449
19,449
20,449
19,449
19,449
19,449
19,450
20,450
30,450
29,449
29,449
29,449
29,450
29,450
29,450
28,450
29,450
28,450
28,450
28,449
28,449
28,449
28,449
28,449
28,449
28,449
28,449
28,449
