MQ1,MQ2
309,22
316,22
313,22
309,22
303,22
299,24
302,21
301,22
297,22
301,22
295,22
298,22
300,22
300,21
299,22
294,23
294,22
294,22
292,22
291,21
290,21
291,21
291,21
289,21
289,21
287,21
284,21
283,21
283,22
283,22
292,21
292,22
294,22
294,22
299,22
297,23
295,22
295,22
298,23
302,23
299,23
298,23
298,23
298,23
297,23
297,23
296,23
296,22
296,23
295,23
295,23
295,22
295,23
295,23
294,23
295,23
295,23
295,22
294,23
295,23
294,23
294,22
294,23
295,23
295,23
295,23
294,23
295,23
294,22
295,23
295,23
295,23
295,23
296,22
294,23
294,23
294,22
294,22
293,22
293,22
293,22
293,22
292,22
292,22
292,22
292,21
291,21
291,21
291,21
294,21
294,21
293,21
293,21
293,21
293,22
293,21
293,22
293,22
292,22
294,21
292,21
292,22
292,22
291,21
292,21
291,21
287,22
285,22
285,24
283,23
296,24
291,31
288,26
297,26
285,26
283,26
286,26
270,57
276,96
282,298
289,299
295,229
294,193
297,184
297,146
296,142
297,129
297,119
297,117
298,107
299,103
297,92
296,85
296,80
294,75
293,73
294,70
295,76
292,70
293,68
293,58
301,57
292,56
290,56
291,54
291,53
291,54
291,55
291,55
291,55
290,54
289,53
290,53
289,53
287,54
286,53
286,53
295,55
281,51
280,52
281,52
281,52
281,51
286,119
288,168
290,178
292,178
295,173
297,153
298,143
299,130
300,131
301,135
302,147
303,140
303,128
303,127
303,110
301,98
301,91
300,87
300,84
300,82
300,79
299,76
299,76
298,73
298,72
299,77
298,73
297,70
297,67
296,65
296,65
296,63
295,61
297,60
294,57
297,57
301,58
295,56
296,55
296,92
293,77
291,72
292,88
292,110
291,156
292,153
291,122
291,105
291,96
290,91
293,135
293,164
293,205
293,196
294,210
294,184
295,171
296,165
297,208
297,217
297,208
298,220
298,213
298,199
298,202
298,163
299,155
298,135
297,120
296,111
296,104
295,98
295,93
295,90
294,86
294,86
296,180
300,252
301,317
303,355
304,384
303,373
302,378
297,372
296,378
295,411
295,395
294,362
293,356
292,362
292,355
293,352
292,354
292,411
291,347
292,339
292,365
288,362
287,331
286,270
284,234
285,210
285,189
285,177
281,163
280,152
280,145
280,139
280,134
280,128
280,122
281,118
281,113
281,108
281,104
282,100
283,96
287,89
284,86
286,85
285,84
285,83
