MQ1,MQ2
16,363
16,363
18,363
16,363
18,363
19,363
16,363
16,363
17,362
34,362
27,362
20,362
21,363
20,362
20,362
20,363
20,362
20,361
18,361
18,360
18,360
18,360
18,360
19,360
25,360
23,360
23,359
23,359
23,359
23,360
23,360
23,360
23,360
23,360
23,360
23,359
23,360
23,360
23,360
23,360
23,359
23,359
23,359
23,359
23,359
23,359
21,359
21,353
21,359
21,358
21,348
20,359
20,359
20,360
20,360
20,360
20,360
22,359
23,360
16,360
19,360
17,360
18,359
17,359
18,359
18,360
18,360
18,360
18,360
18,360
18,361
18,360
18,361
18,361
18,361
18,361
18,362
18,361
18,361
18,361
18,361
18,361
15,361
15,361
18,361
18,361
18,361
17,361
17,361
17,361
21,363
18,362
18,362
18,361
18,361
18,361
17,361
17,361
17,361
17,352
17,356
27,361
25,361
23,361
17,361
20,361
19,361
18,361
17,361
17,361
17,361
17,361
17,361
18,361
18,361
16,360
17,360
17,360
17,361
17,360
17,360
17,360
21,359
22,359
23,361
23,361
20,360
18,360
18,359
18,359
17,359
17,359
17,358
17,358
19,358
20,358
20,358
20,357
21,358
20,359
18,359
19,357
18,358
16,358
17,359
17,359
17,359
17,359
15,359
15,359
16,359
17,359
17,358
16,358
16,358
16,358
16,358
16,358
16,359
17,359
17,359
24,358
17,359
20,359
19,359
19,359
19,359
19,359
19,359
19,359
19,359
19,359
19,359
19,359
19,359
18,359
18,359
19,359
18,359
18,359
18,359
18,359
18,359
19,359
23,359
19,359
18,359
19,359
19,360
19,359
19,359
18,359
19,359
19,359
19,359
20,358
19,359
18,358
18,358
17,358
19,358
20,358
19,359
19,358
19,359
20,358
20,358
19,358
20,357
20,357
20,357
18,358
18,358
18,357
18,357
17,357
17,357
18,357
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
20,356
20,356
22,351
28,359
27,358
22,358
23,358
32,358
16,357
15,358
21,357
21,358
26,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
18,357
19,356
19,356
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,357
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,358
20,357
20,357
20,357
20,357
20,357
19,357
19,357
20,357
19,357
20,357
20,357
20,357
20,357
20,357
19,357
19,357
19,357
19,357
19,356
19,356
19,356
19,357
19,357
19,357
20,357
20,357
19,357
18,357
18,357
18,357
44,357
47,357
39,357
20,358
19,357
19,357
18,357
18,357
18,357
19,357
18,357
18,357
18,357
18,357
18,357
18,357
18,357
18,357
18,357
18,357
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,356
18,355
18,356
18,355
18,356
18,355
18,355
18,355
18,355
18,355
18,356
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,355
18,354
18,355
18,355
18,354
18,355
18,355
18,355
18,355
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
18,354
16,355
15,355
15,355
20,355
19,355
19,355
19,355
19,355
19,354
19,354
19,355
19,355
19,355
19,355
19,355
19,355
19,355
19,355
19,354
