MQ1,MQ2
253,21
253,21
253,21
253,21
253,21
253,21
253,21
253,21
255,22
250,21
252,21
249,21
247,21
251,22
254,22
248,22
256,22
254,22
253,22
253,22
253,22
252,22
256,22
253,22
251,22
252,22
259,21
257,22
256,22
255,22
256,22
254,22
253,22
253,22
253,22
253,22
252,22
251,22
255,22
252,22
251,22
252,22
249,22
248,22
248,22
247,22
247,22
246,22
246,22
246,22
246,22
246,22
245,22
244,22
244,22
243,22
243,22
243,22
243,22
244,22
244,22
244,22
244,22
244,22
240,23
236,22
240,22
239,22
239,22
239,27
237,22
239,19
243,21
248,22
246,27
246,20
245,20
243,19
239,19
241,20
241,20
240,19
243,20
242,20
242,20
242,21
243,22
238,22
238,21
237,21
236,21
236,21
237,21
237,21
237,21
238,21
238,22
239,22
239,22
239,22
240,22
241,22
240,22
240,22
240,22
240,22
240,21
241,22
241,22
242,21
242,22
241,22
242,22
242,22
241,21
242,21
243,21
242,22
243,20
244,20
244,20
244,19
243,19
244,20
244,19
243,19
243,19
243,19
243,19
243,19
244,19
242,19
242,18
241,18
241,19
240,19
240,19
240,18
238,17
237,17
236,17
236,17
236,17
237,18
237,19
237,19
237,19
237,20
236,20
236,20
236,21
236,21
236,21
236,21
235,22
234,22
235,21
234,21
235,21
234,21
235,21
234,22
234,22
234,22
235,22
235,22
235,22
235,22
235,22
235,22
234,22
234,22
234,22
235,22
234,22
234,22
234,22
235,22
234,22
234,22
235,22
235,22
234,22
235,22
234,22
234,22
235,22
234,22
233,22
233,22
233,25
234,25
233,26
232,26
233,26
232,26
232,26
232,26
232,26
234,26
233,27
233,26
233,26
232,26
232,26
232,26
231,26
231,26
231,26
230,26
230,26
230,26
229,26
231,26
229,25
228,25
228,26
228,26
228,26
228,26
228,26
228,26
228,26
229,26
229,25
229,26
229,26
229,26
229,25
229,25
229,25
229,25
229,25
229,25
229,26
229,26
227,26
226,26
224,26
223,27
222,26
221,26
221,26
221,26
221,26
221,26
221,26
221,27
221,27
221,27
221,27
219,27
218,27
218,27
220,27
221,27
222,27
223,27
224,28
224,28
224,28
225,28
225,29
219,29
219,29
218,30
218,30
219,30
218,30
218,30
219,30
218,30
218,31
218,31
218,31
218,31
218,32
219,32
219,33
219,32
218,33
218,32
225,33
224,32
224,32
223,32
223,33
227,33
227,33
226,33
226,33
226,33
227,33
226,34
226,34
227,33
226,33
228,33
227,34
239,36
229,36
219,36
219,36
217,36
218,35
220,35
221,35
220,35
221,34
220,35
222,35
222,35
222,30
220,30
220,30
220,31
221,31
222,31
220,31
221,31
222,31
221,31
221,31
221,31
222,31
222,31
222,31
223,31
223,32
223,32
223,32
223,33
223,33
224,32
224,32
225,32
224,32
224,32
225,32
225,31
225,32
225,32
225,32
226,31
226,31
226,31
226,31
226,31
227,31
227,31
